Datum;GÃ¤stnÃ¤tter i snitt per dag
2023-06-17;58 914
2023-06-18;41 752
2023-06-19;41 986
2023-06-20;43 522
2023-06-21;36 213
2023-06-22;32 924
2023-06-23;39 826
2023-06-24;37 155
2023-06-25;32 741
2023-06-26;39 827
2023-06-27;42 605
2023-06-28;42 484
2023-06-29;44 560
2023-06-30;48 384
2023-07-01;52 287
2023-07-02;36 791
2023-07-03;41 607
2023-07-04;44 621
2023-07-05;43 872
2023-07-06;43 823
2023-07-07;54 789
2023-07-08;57 780
2023-07-09;39 491
2023-07-10;44 745
2023-07-11;47 927
2023-07-12;48 045
2023-07-13;47 474
2023-07-14;49 623
2023-07-15;51 269
2023-07-16;41 568
2023-07-17;47 810
2023-07-18;51 090
2023-07-19;50 847
2023-07-20;50 371
2023-07-21;52 666
2023-07-22;54 618
2023-07-23;42 981
2023-07-24;47 006
2023-07-25;52 008
2023-07-26;53 284
2023-07-27;53 157
2023-07-28;55 279
2023-07-29;54 363
2023-07-30;41 401
2023-07-31;44 688
2023-08-01;46 497
2023-08-02;48 333
2023-08-03;49 916
2023-08-04;54 129
2023-08-05;56 917
2023-08-06;39 198
2023-08-07;42 945
2023-08-08;46 099
2023-08-09;46 018
2023-08-10;45 669
2023-08-11;50 177
2023-08-12;54 308
2023-08-13;39 821
2023-08-14;44 890
2023-08-15;47 269
2023-08-16;47 006
2023-08-17;46 341
2023-08-18;51 160
2023-08-19;55 416
2023-08-20;36 373
2023-08-21;42 743
2023-08-22;47 554
2023-08-23;48 349
2023-08-24;45 530
2023-08-25;51 864
2023-08-26;55 825
2023-08-27;33 917
2023-08-28;42 670
2023-08-29;45 178
2023-08-30;43 870
2023-08-31;42 153
2023-09-01;50 074
2023-09-02;55 172
2023-09-03;30 188
2023-09-04;38 382
2023-09-05;42 554
2023-09-06;43 524
2023-09-07;42 629
2023-09-08;46 942
2023-09-09;50 042
2023-09-10;28 874
2023-09-11;38 691
2023-09-12;45 498
2023-09-13;45 674
2023-09-14;42 090
2023-09-15;44 267
2023-09-16;48 133
2023-09-17;27 373
2023-09-18;36 714
2023-09-19;41 236
2023-09-20;42 093
2023-09-21;38 940
2023-09-22;47 876
2023-09-23;52 177
2023-09-24;26 951
2023-09-25;34 864
2023-09-26;39 766
2023-09-27;41 009
2023-09-28;39 191
2023-09-29;48 032
2023-09-30;54 585
2023-10-01;32 116
2023-10-02;33 107
2023-10-03;37 798
2023-10-04;39 132
2023-10-05;35 056
2023-10-06;45 806
2023-10-07;51 586
2023-10-08;25 578
2023-10-09;33 085
2023-10-10;37 312
2023-10-11;38 472
2023-10-12;36 137
2023-10-13;42 606
2023-10-14;48 241
2023-10-15;26 574
2023-10-16;34 985
2023-10-17;40 517
2023-10-18;42 074
2023-10-19;39 661
2023-10-20;43 508
2023-10-21;49 973
2023-10-22;24 808
2023-10-23;33 595
2023-10-24;39 080
2023-10-25;39 002
2023-10-26;35 123
2023-10-27;45 590
2023-10-28;55 142
2023-10-29;30 292
2023-10-30;32 890
2023-10-31;31 469
2023-11-01;33 205
2023-11-02;38 357
2023-11-03;49 068
2023-11-04;47 070
2023-11-05;20 410
2023-11-06;28 539
2023-11-07;35 077
2023-11-08;36 700
2023-11-09;34 331
2023-11-10;39 255
2023-11-11;45 532
2023-11-12;22 107
2023-11-13;30 755
2023-11-14;36 427
2023-11-15;39 201
2023-11-16;40 474
2023-11-17;49 325
2023-11-18;54 092
2023-11-19;25 413
2023-11-20;29 266
2023-11-21;34 745
2023-11-22;35 390
2023-11-23;33 218
2023-11-24;42 409
2023-11-25;47 457
2023-11-26;24 538
2023-11-27;30 213
2023-11-28;36 011
2023-11-29;35 050
2023-11-30;34 685
2023-12-01;45 491
2023-12-02;50 793
2023-12-03;24 135
2023-12-04;29 608
2023-12-05;34 615
2023-12-06;35 740
2023-12-07;34 589
2023-12-08;41 378
2023-12-09;44 693
2023-12-10;23 462
2023-12-11;27 910
2023-12-12;28 349
2023-12-13;29 196
2023-12-14;30 308
2023-12-15;32 101
2023-12-16;35 182
2023-12-17;19 885
2023-12-18;21 463
2023-12-19;21 289
2023-12-20;19 993
2023-12-21;19 010
2023-12-22;21 679
2023-12-23;23 013
2023-12-24;24 908
2023-12-25;22 996
2023-12-26;25 184
2023-12-27;30 049
2023-12-28;32 422
2023-12-29;35 984
2023-12-30;36 000
2023-12-31;46 351
2024-01-01;26 155
2024-01-02;25 735
2024-01-03;25 711
2024-01-04;24 786
2024-01-05;27 914
2024-01-06;25 521
2024-01-07;14 761
2024-01-08;19 071
2024-01-09;22 934
2024-01-10;26 604
2024-01-11;20 153
2024-01-12;25 977
2024-01-13;32 662
2024-01-14;18 436
2024-01-15;23 885
2024-01-16;29 257
2024-01-17;30 595
2024-01-18;26 053
2024-01-19;28 998
2024-01-20;33 865
2024-01-21;17 841
2024-01-22;26 655
2024-01-23;31 762
2024-01-24;32 683
2024-01-25;27 901
2024-01-26;34 963
2024-01-27;38 780
2024-01-28;18 051
2024-01-29;25 187
2024-01-30;30 556
2024-01-31;30 512
2024-02-01;25 443
2024-02-02;29 543
2024-02-03;36 758
2024-02-04;18 890
2024-02-05;28 232
2024-02-06;34 068
2024-02-07;35 297
2024-02-08;29 026
2024-02-09;31 333
2024-02-10;35 948
2024-02-11;20 819
2024-02-12;27 144
2024-02-13;31 818
2024-02-14;32 913
2024-02-15;30 751
2024-02-16;35 906
2024-02-17;41 033
2024-02-18;23 022
2024-02-19;27 368
2024-02-20;32 577
2024-02-21;35 542
2024-02-22;33 889
2024-02-23;37 426
2024-02-24;39 283
2024-02-25;19 862
2024-02-26;23 571
2024-02-27;25 027
2024-02-28;25 661
2024-02-29;24 865
2024-03-01;33 549
2024-03-02;36 568
2024-03-03;19 594
2024-03-04;27 329
2024-03-05;34 122
2024-03-06;31 687
2024-03-07;29 230
2024-03-08;40 367
2024-03-09;47 820
2024-03-10;21 270
2024-03-11;29 135
2024-03-12;36 415
2024-03-13;39 915
2024-03-14;33 036
2024-03-15;39 917
2024-03-16;42 861
2024-03-17;22 262
2024-03-18;31 399
2024-03-19;35 951
2024-03-20;36 871
2024-03-21;32 001
2024-03-22;36 297
2024-03-23;42 148
2024-03-24;23 484
2024-03-25;28 513
2024-03-26;27 334
2024-03-27;23 794
2024-03-28;29 549
2024-03-29;41 377
2024-03-30;42 060
2024-03-31;31 837
2024-04-01;22 070
2024-04-02;25 817
2024-04-03;27 815
2024-04-04;29 278
2024-04-05;36 112
2024-04-06;38 508
2024-04-07;20 559
2024-04-08;29 537
2024-04-09;35 645
2024-04-10;36 576
2024-04-11;33 527
2024-04-12;37 750
2024-04-13;42 084
2024-04-14;22 216
2024-04-15;31 954
2024-04-16;38 470
2024-04-17;39 355
2024-04-18;34 273
2024-04-19;42 031
2024-04-20;47 891
2024-04-21;23 980
2024-04-22;34 787
2024-04-23;42 398
2024-04-24;43 364
2024-04-25;40 705
2024-04-26;46 380
2024-04-27;52 904
2024-04-28;24 663
2024-04-29;26 981
2024-04-30;24 794
2024-05-01;26 137
2024-05-02;34 911
2024-05-03;44 724
2024-05-04;50 328
2024-05-05;26 064
2024-05-06;32 340
2024-05-07;32 150
2024-05-08;28 712
2024-05-09;42 271
2024-05-10;51 964
2024-05-11;49 737
2024-05-12;27 852
2024-05-13;37 709
2024-05-14;42 091
2024-05-15;43 078
2024-05-16;46 880
2024-05-17;58 599
2024-05-18;63 932
2024-05-19;49 350
2024-05-20;39 767
2024-05-21;42 978
2024-05-22;45 149
2024-05-23;44 809
2024-05-24;48 974
2024-05-25;53 574
2024-05-26;32 195
2024-05-27;38 922
2024-05-28;43 869
2024-05-29;45 618
2024-05-30;45 631
2024-05-31;52 672
2024-06-01;53 063
2024-06-02;32 757
2024-06-03;41 301
2024-06-04;41 125
2024-06-05;35 332
2024-06-06;38 271
2024-06-07;47 700
2024-06-08;53 104
2024-06-09;30 510
2024-06-10;39 827
2024-06-11;43 969
2024-06-12;45 329
2024-06-13;43 139
2024-06-14;46 086
2024-06-15;50 514
2024-06-16;35 303
2024-06-17;43 715
2024-06-18;43 745
2024-06-19;36 166
2024-06-20;31 861
2024-06-21;38 435
2024-06-22;38 310
2024-06-23;34 813
2024-06-24;42 511
2024-06-25;46 454
2024-06-26;43 956
2024-06-27;43 612
2024-06-28;48 788
2024-06-29;49 577
2024-06-30;35 720
2024-07-01;43 509
2024-07-02;44 212
2024-07-03;43 399
2024-07-04;42 795
2024-07-05;49 063
2024-07-06;53 419
2024-07-07;39 810
2024-07-08;45 399
2024-07-09;48 454
2024-07-10;47 787
2024-07-11;49 259
2024-07-12;51 855
2024-07-13;54 722
2024-07-14;48 230
2024-07-15;55 796
2024-07-16;51 769
2024-07-17;53 501
2024-07-18;57 216
2024-07-19;53 595
2024-07-20;52 169
2024-07-21;41 856
2024-07-22;47 824
2024-07-23;50 898
2024-07-24;54 170
2024-07-25;59 186
2024-07-26;55 445
2024-07-27;54 920
2024-07-28;43 724
2024-07-29;47 322
2024-07-30;48 957
2024-07-31;47 653
2024-08-01;49 139
2024-08-02;53 012
2024-08-03;55 430
2024-08-04;40 910
2024-08-05;45 100
2024-08-06;47 892
2024-08-07;47 224
2024-08-08;46 668
2024-08-09;54 398
2024-08-10;54 867
2024-08-11;39 918
2024-08-12;45 873
2024-08-13;48 773
2024-08-14;49 724
2024-08-15;49 087
2024-08-16;54 281
2024-08-17;58 739
2024-08-18;39 647
2024-08-19;45 333
2024-08-20;48 380
2024-08-21;49 073
2024-08-22;47 768
2024-08-23;54 350
2024-08-24;58 209
2024-08-25;40 041
2024-08-26;47 102
2024-08-27;48 850
2024-08-28;51 901
2024-08-29;45 821
2024-08-30;55 150
2024-08-31;58 999
2024-09-01;32 776
2024-09-02;42 144
2024-09-03;42 968
2024-09-04;43 055
2024-09-05;42 499
2024-09-06;47 402
2024-09-07;52 297
2024-09-08;30 832
2024-09-09;38 178
2024-09-10;42 373
2024-09-11;43 729
2024-09-12;42 017
2024-09-13;47 532
2024-09-14;54 936
2024-09-15;29 168
2024-09-16;37 919
2024-09-17;42 063
2024-09-18;43 226
2024-09-19;40 045
2024-09-20;43 239
2024-09-21;48 150
2024-09-22;27 581
2024-09-23;36 300
2024-09-24;41 979
2024-09-25;42 952
2024-09-26;40 677
2024-09-27;47 531
2024-09-28;53 131
2024-09-29;26 442
2024-09-30;33 870
2024-10-01;36 988
2024-10-02;37 602
2024-10-03;37 824
2024-10-04;43 931
2024-10-05;48 927
2024-10-06;25 871
2024-10-07;33 662
2024-10-08;38 371
2024-10-09;39 545
2024-10-10;35 461
2024-10-11;48 613
2024-10-12;58 332
2024-10-13;27 004
2024-10-14;35 558
2024-10-15;40 690
2024-10-16;42 945
2024-10-17;39 449
2024-10-18;42 817
2024-10-19;47 834
2024-10-20;26 427
2024-10-21;34 116
2024-10-22;39 673
2024-10-23;39 656
2024-10-24;36 154
2024-10-25;42 317
2024-10-26;51 183
2024-10-27;31 306
2024-10-28;36 213
2024-10-29;36 772
2024-10-30;37 713
2024-10-31;38 796
2024-11-01;50 528
2024-11-02;50 427
2024-11-03;25 597
2024-11-04;31 085
2024-11-05;36 332
2024-11-06;35 538
2024-11-07;31 981
2024-11-08;40 640
2024-11-09;47 960
2024-11-10;23 935
2024-11-11;30 750
2024-11-12;36 718
2024-11-13;37 292
2024-11-14;32 452
2024-11-15;40 555
2024-11-16;49 681
2024-11-17;23 747
2024-11-18;31 241
2024-11-19;36 463
2024-11-20;37 032
2024-11-21;35 786
2024-11-22;42 215
2024-11-23;46 901
2024-11-24;24 531
2024-11-25;30 318
2024-11-26;35 850
2024-11-27;35 970
2024-11-28;35 196
2024-11-29;45 429
2024-11-30;50 270
2024-12-01;26 000
2024-12-02;30 915
2024-12-03;35 552
2024-12-04;35 201
2024-12-05;34 908
2024-12-06;45 125
2024-12-07;49 722
2024-12-08;26 649
2024-12-09;30 941
2024-12-10;34 707
2024-12-11;33 460
2024-12-12;29 227
2024-12-13;35 986
2024-12-14;40 419
2024-12-15;22 637
2024-12-16;24 955
2024-12-17;26 035
2024-12-18;24 580
2024-12-19;22 424
2024-12-20;26 080
2024-12-21;28 992
2024-12-22;22 334
2024-12-23;23 336
2024-12-24;25 967
2024-12-25;25 096
2024-12-26;29 523
2024-12-27;37 576
2024-12-28;39 882
2024-12-29;34 521
2024-12-30;35 018
2024-12-31;48 126
2025-01-01;29 231
2025-01-02;28 968
2025-01-03;30 261
2025-01-04;28 822
2025-01-05;22 050
2025-01-06;18 492
2025-01-07;20 636
2025-01-08;22 054
2025-01-09;20 607
2025-01-10;24 243
2025-01-11;27 403
2025-01-12;20 806
2025-01-13;23 718
2025-01-14;27 514
2025-01-15;28 316
2025-01-16;24 777
2025-01-17;27 704
2025-01-18;29 620
2025-01-19;19 773
2025-01-20;26 230
2025-01-21;30 441
2025-01-22;30 667
2025-01-23;27 889
2025-01-24;30 155
2025-01-25;34 461
2025-01-26;20 226
2025-01-27;25 731
2025-01-28;29 502
2025-01-29;31 123
2025-01-30;26 950
2025-01-31;30 824
2025-02-01;38 716
2025-02-02;23 052
2025-02-03;29 528
2025-02-04;33 993
2025-02-05;34 589
2025-02-06;30 476
2025-02-07;35 406
2025-02-08;41 059
2025-02-09;22 643
2025-02-10;27 460
2025-02-11;31 196
2025-02-12;30 999
2025-02-13;28 647
2025-02-14;38 085
2025-02-15;38 473
2025-02-16;24 004
2025-02-17;28 495
2025-02-18;32 849
2025-02-19;31 312
2025-02-20;29 073
2025-02-21;33 451
2025-02-22;35 859
2025-02-23;23 418
2025-02-24;24 677
2025-02-25;26 624
2025-02-26;26 375
2025-02-27;26 139
2025-02-28;31 912
2025-03-01;36 213
2025-03-02;23 129
2025-03-03;28 477
2025-03-04;32 074
2025-03-05;31 967
2025-03-06;29 904
2025-03-07;36 844
2025-03-08;43 535
2025-03-09;23 943
2025-03-10;29 102
2025-03-11;34 430
2025-03-12;34 928
2025-03-13;31 141
2025-03-14;36 476
2025-03-15;40 583
2025-03-16;23 989
2025-03-17;30 604
2025-03-18;34 854
2025-03-19;33 580
2025-03-20;31 732
2025-03-21;42 646
2025-03-22;47 541
2025-03-23;30 549
2025-03-24;31 113
2025-03-25;39 324
2025-03-26;39 676
2025-03-27;38 939
2025-03-28;40 624
2025-03-29;44 763
2025-03-30;26 599
2025-03-31;29 335
2025-04-01;34 706
2025-04-02;35 882
2025-04-03;35 648
2025-04-04;41 718
2025-04-05;42 912
2025-04-06;25 424
2025-04-07;32 424
2025-04-08;37 731
2025-04-09;37 949
2025-04-10;33 501
2025-04-11;37 751
2025-04-12;43 745
2025-04-13;28 448
2025-04-14;33 008
2025-04-15;32 727
2025-04-16;30 872
2025-04-17;36 318
2025-04-18;43 511
2025-04-19;41 855
2025-04-20;30 622
2025-04-21;24 512
2025-04-22;32 634
2025-04-23;39 566
2025-04-24;37 219
2025-04-25;41 408
2025-04-26;44 465
2025-04-27;26 772
2025-04-28;32 228
2025-04-29;28 083
2025-04-30;29 118
2025-05-01;40 454
2025-05-02;48 105
2025-05-03;48 276
2025-05-04;31 538
2025-05-05;38 739
2025-05-06;43 031
2025-05-07;44 248
2025-05-08;40 960
2025-05-09;45 686
2025-05-10;49 927
2025-05-11;34 266
2025-05-12;42 974
2025-05-13;45 097
2025-05-14;45 142
2025-05-15;40 607
2025-05-16;45 208
2025-05-17;49 792
2025-05-18;34 224
2025-05-19;42 177
2025-05-20;46 149
2025-05-21;45 171
2025-05-22;43 645
2025-05-23;48 067
2025-05-24;53 342
2025-05-25;38 085
2025-05-26;41 501
2025-05-27;41 041
2025-05-28;36 658
2025-05-29;45 971
2025-05-30;54 978
2025-05-31;55 594
2025-06-01;38 495
2025-06-02;42 221
2025-06-03;46 346
2025-06-04;43 989
2025-06-05;49 790
2025-06-06;52 615
2025-06-07;51 568
2025-06-08;37 862
2025-06-09;42 543
2025-06-10;46 089
2025-06-11;45 538
2025-06-12;48 610
2025-06-13;55 678
2025-06-14;56 150
2025-06-15;42 396
2025-06-16;47 935
2025-06-17;48 073
2025-06-18;41 184
2025-06-19;38 971
2025-06-20;43 383
2025-06-21;42 139
2025-06-22;37 953
2025-06-23;44 210
2025-06-24;48 569
2025-06-25;46 670
2025-06-26;46 290
2025-06-27;50 308
2025-06-28;54 162
2025-06-29;41 685
2025-06-30;41 493
2025-07-01;45 545
2025-07-02;45 774
2025-07-03;45 254
2025-07-04;52 461
2025-07-05;52 532
2025-07-06;41 286
2025-07-07;45 829
2025-07-08;49 220
2025-07-09;49 655
2025-07-10;49 471
2025-07-11;51 420
2025-07-12;53 146
2025-07-13;45 307
2025-07-14;48 988
2025-07-15;52 035
2025-07-16;51 933
2025-07-17;51 474
2025-07-18;58 741
2025-07-19;61 493
2025-07-20;45 148
2025-07-21;48 051
2025-07-22;52 060
2025-07-23;52 509
2025-07-24;54 190
2025-07-25;58 990
2025-07-26;60 200
2025-07-27;48 348
2025-07-28;50 453
2025-07-29;51 575
2025-07-30;52 085
2025-07-31;50 007
2025-08-01;55 168
2025-08-02;57 043
2025-08-03;45 154
2025-08-04;48 639
2025-08-05;50 090
2025-08-06;51 158
2025-08-07;54 485
2025-08-08;58 054
2025-08-09;61 970
2025-08-10;44 856
2025-08-11;48 311
2025-08-12;51 752
2025-08-13;52 685
2025-08-14;52 573
2025-08-15;57 248
2025-08-16;60 467
2025-08-17;44 157
2025-08-18;47 375
2025-08-19;50 341
2025-08-20;51 840
2025-08-21;52 889
2025-08-22;64 195
2025-08-23;65 928
2025-08-24;41 869
2025-08-25;48 470
2025-08-26;51 116
2025-08-27;50 898
2025-08-28;50 712
2025-08-29;58 546
2025-08-30;59 995
2025-08-31;37 518
2025-09-01;40 698
2025-09-02;44 368
2025-09-03;43 907
2025-09-04;41 762
2025-09-05;49 321
2025-09-06;52 782
2025-09-07;32 074
2025-09-08;39 913
2025-09-09;44 422
2025-09-10;44 567
2025-09-11;43 735
2025-09-12;48 601
2025-09-13;54 890
2025-09-14;32 806
2025-09-15;39 417
2025-09-16;43 684
2025-09-17;43 919
2025-09-18;42 038
2025-09-19;46 326
2025-09-20;49 085
2025-09-21;31 856
2025-09-22;38 752
2025-09-23;43 618
2025-09-24;43 306
2025-09-25;40 329
2025-09-26;50 541
2025-09-27;56 202
2025-09-28;31 159
2025-09-29;37 231
2025-09-30;40 807
2025-10-01;40 515
2025-10-02;38 991
2025-10-03;45 023
2025-10-04;49 885
2025-10-05;30 756
2025-10-06;36 981
2025-10-07;41 274
2025-10-08;41 555
2025-10-09;41 209
2025-10-10;55 183
2025-10-11;55 999
2025-10-12;39 300
2025-10-13;44 115
2025-10-14;45 576
2025-10-15;46 978
2025-10-16;42 783
2025-10-17;53 130
2025-10-18;52 819
2025-10-19;30 932
2025-10-20;38 042
2025-10-21;42 381
2025-10-22;41 137
2025-10-23;37 747
2025-10-24;45 265
2025-10-25;52 256
2025-10-26;34 394
2025-10-27;38 509
2025-10-28;39 300
2025-10-29;38 771
2025-10-30;39 930
2025-10-31;49 878
2025-11-01;49 064
2025-11-02;25 520
2025-11-03;30 939
2025-11-04;36 834
2025-11-05;38 250
2025-11-06;36 564
2025-11-07;41 125
2025-11-08;48 817
2025-11-09;26 620
2025-11-10;33 869
2025-11-11;38 518
2025-11-12;38 656
2025-11-13;36 939
2025-11-14;45 417
2025-11-15;48 295
2025-11-16;28 237
2025-11-17;28 484
2025-11-18;39 031
2025-11-19;37 695
2025-11-20;35 671
2025-11-21;40 137
2025-11-22;45 258
2025-11-23;26 181
2025-11-24;32 949
2025-11-25;38 774
2025-11-26;39 776
2025-11-27;38 664
2025-11-28;48 580
2025-11-29;52 335
2025-11-30;29 026